dataset_name	hyperparameter_setting	n_hidden_layer	n_feature	n_hidden_module	n_hidden_neuron	n_training	n_testing	training_total_loss	training_root_loss	training_auxiliary_loss	training_auc	training_auc_ci	training_bac	training_bac_ci	training_f1	training_f1_ci	testing_total_loss	testing_root_loss	testing_auxiliary_loss	testing_auc	testing_auc_ci	testing_bac	testing_bac_ci	testing_f1	testing_f1_ci
tox21-ahr-p1	shuffle_1.tsv_xs_20_al_0.5_ld_0.0001	12	361	304,99,40,17,13,11,7,2,2,2,1,1	1558,772,387,197,134,130,84,21,31,37,18,20	5606	1402	1.9836	0.20245	3.5623	0.9109	0.00929	0.71561	0.01555	0.56437	0.02897	3.22683	0.556	5.34167	0.47436	0.03934	0.5	0	0	0
tox21-ap1-agonist-p1	shuffle_1.tsv_xs_20_al_0.5_ld_0.0001	10	361	205,65,26,9,9,9,6,1,1,1	1133,549,270,116,107,114,77,12,18,20	5477	1370	1.60288	0.23741	2.73093	0.79197	0.01598	0.53801	0.00934	0.14201	0.03175	1.936	0.35377	3.16446	0.43665	0.04021	0.5	0	0	0
tox21-ar-mda-kb2-luc-antagonist-p2	shuffle_1.tsv_xs_20_al_0.5_ld_0.0001	12	361	366,123,51,22,14,12,7,2,2,2,1,1	1823,949,493,257,150,149,84,21,31,37,18,20	4959	1240	2.46324	0.26821	4.39005	0.8845	0.0108	0.71895	0.01382	0.55776	0.02652	4.23737	0.85399	6.76677	0.46263	0.03386	0.5	0	0	0
tox21-are-bla-p1	shuffle_1.tsv_xs_20_al_0.5_ld_0.0001	10	361	205,65,26,9,9,9,6,1,1,1	1133,549,270,116,107,114,77,12,18,20	4778	1195	2.44495	0.34842	4.19307	0.80929	0.01243	0.63061	0.01209	0.4085	0.02839	3.35734	0.72845	5.25779	0.47217	0.03595	0.49901	0.01019	0.05063	0.03186
tox21-aromatase-p1	shuffle_1.tsv_xs_20_al_0.1_ld_0.0001	10	361	143,41,15,4,8,8,6,1,1,1	865,368,161,53,91,94,77,12,18,20	5301	1326	0.57956	0.25823	3.21325	0.81983	0.01459	0.61151	0.0127	0.35961	0.03324	0.82832	0.44556	3.82757	0.51537	0.03774	0.5	0	0	0
tox21-car-agonist-p1	shuffle_1.tsv_xs_20_al_0.5_ld_0.0001	12	361	248,83,36,16,12,10,6,2,2,2,1,1	1240,637,345,183,117,112,66,21,31,37,18,20	5484	1372	2.27395	0.22796	4.09199	0.91246	0.0084	0.7394	0.01391	0.58643	0.02472	4.09252	0.98488	6.21528	0.48692	0.03455	0.5	0	0	0
tox21-er-luc-bg1-4e2-agonist-p2	shuffle_1.tsv_xs_20_al_0.5_ld_0.0001	9	361	90,36,13,9,8,6,2,1,1	393,229,112,82,74,63,27,17,20	5184	1297	1.68648	0.26401	2.84493	0.78475	0.01724	0.62455	0.01336	0.38822	0.0317	2.06985	0.37188	3.39594	0.55686	0.03564	0.5	0	0	0
tox21-mitotox-p1	shuffle_1.tsv_xs_20_al_0.5_ld_0.0001	12	361	248,83,36,16,12,10,6,2,2,2,1,1	1240,637,345,183,117,112,66,21,31,37,18,20	5183	1296	2.81602	0.29437	5.04331	0.89352	0.00884	0.74858	0.0124	0.6238	0.02053	3.89248	0.56752	6.64992	0.45283	0.02799	0.5	0	0	0
tox21-pr-bla-antagonist-p1	shuffle_1.tsv_xs_20_al_0.5_ld_0.0001	12	361	366,123,51,22,14,12,7,2,2,2,1,1	1823,949,493,257,150,149,84,21,31,37,18,20	5140	1286	2.26779	0.23876	4.05806	0.89818	0.0098	0.72044	0.01392	0.57196	0.02526	3.49088	0.63756	5.70665	0.55427	0.03655	0.5	0	0	0
tox21-pxr-p1	shuffle_1.tsv_xs_20_al_0.5_ld_0.0001	12	361	366,123,51,22,14,12,7,2,2,2,1,1	1823,949,493,257,150,149,84,21,31,37,18,20	5220	1306	3.29804	0.35433	5.88743	0.88538	0.00815	0.74409	0.01069	0.63783	0.01758	5.12356	1.00061	8.24591	0.49138	0.02979	0.5	0	0	0
tox21-rar-antagonist-p2	shuffle_1.tsv_xs_20_al_0.5_ld_0.0001	10	361	205,65,26,9,9,9,6,1,1,1	1133,549,270,116,107,114,77,12,18,20	4428	1107	1.77292	0.26431	3.01723	0.80975	0.01557	0.5237	0.00788	0.09283	0.02794	2.38017	0.52315	3.71405	0.4744	0.04418	0.5	0	0	0
tox21-ror-cho-antagonist-p1	shuffle_1.tsv_xs_20_al_0.1_ld_0.0001	10	361	205,65,26,9,9,9,6,1,1,1	1133,549,270,116,107,114,77,12,18,20	4327	1082	0.50557	0.21701	2.88565	0.87512	0.0136	0.57006	0.01334	0.2418	0.03926	0.72896	0.38786	3.41099	0.60104	0.04839	0.50398	0.00498	0.01942	0.01754
tox21-rt-viability-hek293-p1	shuffle_1.tsv_xs_20_al_0.5_ld_0.0001	12	361	169,61,26,13,5,3,1,1,1,1,1,1	753,432,244,144,45,36,8,10,14,17,18,20	6018	1505	3.43892	0.40883	6.06017	0.81845	0.01015	0.68235	0.01016	0.52329	0.01971	3.93389	0.58423	6.69931	0.55319	0.02823	0.51536	0.01118	0.1199	0.03143
tox21-rt-viability-hepg2-p1	shuffle_1.tsv_xs_20_al_0.5_ld_0.0001	12	361	248,83,36,16,12,10,6,2,2,2,1,1	1240,637,345,183,117,112,66,21,31,37,18,20	6020	1506	2.66891	0.31861	4.7006	0.82799	0.01153	0.64216	0.01189	0.43128	0.02695	3.25856	0.4973	5.52253	0.44663	0.03402	0.50838	0.00908	0.05556	0.03047
