dataset_name	hyperparameter_setting	n_hidden_layer	n_feature	n_hidden_module	n_hidden_neuron	n_training	n_testing	training_total_loss	training_root_loss	training_auxiliary_loss	training_auc	training_auc_ci	training_bac	training_bac_ci	training_f1	training_f1_ci	testing_total_loss	testing_root_loss	testing_auxiliary_loss	testing_auc	testing_auc_ci	testing_bac	testing_bac_ci	testing_f1	testing_f1_ci
tox21-ahr-p1	rt_11_ps_20_re_0_xs_20_al_0.1_ld_0.0001	7	361	35,14,4,1,1,1,1	158,86,35,14,19,20,20	5606	1402	0.43704	0.23565	2.01386	0.87462	0.01147	0.67465	0.01519	0.4784	0.03112	0.46448	0.25562	2.08858	0.84948	0.02264	0.62478	0.02629	0.37788	0.06249
tox21-ahr-p1	rt_11_ps_20_re_0_xs_20_al_0.5_ld_0.0001	7	361	35,14,4,1,1,1,1	158,86,35,14,19,20,20	5606	1402	1.20001	0.22743	1.94517	0.88386	0.01076	0.70171	0.01508	0.52131	0.02858	1.28394	0.25387	2.06014	0.85408	0.02281	0.64205	0.02823	0.40336	0.06185
tox21-ahr-p1	rt_11_ps_5_re_0_xs_20_al_0.1_ld_0.0001	7	361	58,17,4,1,1,1,1	359,157,47,15,19,20,20	5606	1402	0.44547	0.24225	2.03213	0.86976	0.01169	0.633	0.0135	0.39414	0.0309	0.46489	0.25558	2.09312	0.84891	0.02387	0.63252	0.02703	0.39815	0.06321
tox21-ahr-p1	rt_11_ps_5_re_0_xs_20_al_0.5_ld_0.0001	7	361	58,17,4,1,1,1,1	359,157,47,15,19,20,20	5606	1402	1.24005	0.24226	1.99557	0.86837	0.01161	0.64938	0.0147	0.42748	0.03162	1.29031	0.25839	2.06384	0.84827	0.02299	0.61824	0.02743	0.36279	0.06506
tox21-ahr-p1	rt_12_ps_20_re_0_xs_20_al_0.1_ld_0.0001	9	361	55,22,9,8,7,5,1,1,1	252,152,80,69,57,45,9,17,20	5606	1402	0.49101	0.21292	2.78086	0.8988	0.00992	0.7005	0.01607	0.53209	0.02955	0.5496	0.26193	2.87674	0.86134	0.02232	0.63718	0.02851	0.39004	0.06096
tox21-ahr-p1	rt_12_ps_20_re_0_xs_20_al_0.5_ld_0.0001	9	361	55,22,9,8,7,5,1,1,1	252,152,80,69,57,45,9,17,20	5606	1402	1.61206	0.22734	2.76945	0.88584	0.01061	0.64624	0.01399	0.42971	0.03178	1.66142	0.25086	2.82113	0.86938	0.01997	0.61664	0.0273	0.35616	0.06502
tox21-ahr-p1	rt_12_ps_5_re_0_xs_20_al_0.1_ld_0.0001	10	361	85,24,11,3,7,7,5,1,1,1	529,220,117,39,73,76,58,12,18,20	5606	1402	0.54893	0.23384	3.15097	0.87772	0.01081	0.65434	0.0144	0.44469	0.03097	0.57184	0.25243	3.19409	0.86608	0.02085	0.60764	0.02689	0.33645	0.06467
tox21-ahr-p1	rt_12_ps_5_re_0_xs_20_al_0.5_ld_0.0001	10	361	85,24,11,3,7,7,5,1,1,1	529,220,117,39,73,76,58,12,18,20	5606	1402	1.69806	0.2077	2.98072	0.90812	0.0094	0.67764	0.01518	0.4967	0.03154	1.80535	0.25779	3.09513	0.85721	0.0226	0.62318	0.02722	0.37104	0.06294
tox21-ahr-p1	rt_13_ps_20_re_0_xs_20_al_0.1_ld_0.0001	6	361	28,16,8,2,1,1	80,101,73,20,16,20	5606	1402	0.43317	0.24663	1.86539	0.85907	0.01177	0.6258	0.01289	0.38184	0.02947	0.4564	0.26552	1.90878	0.83519	0.02517	0.5937	0.02432	0.30542	0.06159
tox21-ahr-p1	rt_13_ps_20_re_0_xs_20_al_0.5_ld_0.0001	6	361	28,16,8,2,1,1	80,101,73,20,16,20	5606	1402	1.14319	0.24146	1.80347	0.87083	0.0109	0.62229	0.01267	0.37664	0.03026	1.21554	0.2747	1.88168	0.82568	0.02501	0.59577	0.02492	0.30918	0.06393
