compound_cid	compound_predicted_score	target_range	target_relevance	average_relevance
CID_60196397	0.72	P10275 > 0.59	0.0035745337958376835	0.0019944598337950136
CID_15969	0.7183333333333334	0.47 < P10275 <= 0.59	0.0029658396554167587	0.0019898430286241922
CID_104850	0.89	0.36 < P10275 <= 0.47	-0.001226762828047469	0.0024653739612188366
CID_213031	0.81	P10275 > 0.59	0.003926149755404115	0.0022437673130193906
CID_5284373	0.7	P10275 <= 0.36	0.006295886896807537	0.0019390581717451522
CID_39327	0.86	0.36 < P10275 <= 0.47	0.005507968141339363	0.0023822714681440444
CID_969491	0.705	P10275 > 0.59	0.0034565167034693533	0.0019529085872576177
CID_11556711	0.74	0.36 < P10275 <= 0.47	0.0010036883623386972	0.002049861495844875
CID_39424	0.79	0.36 < P10275 <= 0.47	0.0027119598365033413	0.002188365650969529
CID_113027	0.69	P10275 > 0.59	0.002563690443844951	0.0019113573407202214
CID_4632	0.84	P10275 <= 0.36	-0.005436447682108774	0.002326869806094183
CID_232446	0.93	P10275 <= 0.36	-0.0004953632261834853	0.00257617728531856
CID_13081	0.62	P10275 > 0.59	0.0061324023762124305	0.0017174515235457064
CID_20708	1.0	P10275 > 0.59	-0.001027028115921033	0.002770083102493075
CID_5284462	0.9318181818181819	0.47 < P10275 <= 0.59	0.0050409186505606125	0.002581213800050365
CID_73864	0.97	0.47 < P10275 <= 0.59	-0.001074914574371299	0.0026869806094182826
CID_11957654	0.71	0.36 < P10275 <= 0.47	0.004610870761987398	0.001966759002770083
CID_73675	0.82	0.47 < P10275 <= 0.59	0.004681243830403386	0.002271468144044321
CID_3333	0.73	P10275 > 0.59	-0.0012182010624678654	0.0020221606648199446
CID_12901	0.66	0.47 < P10275 <= 0.59	-0.0007528491245928958	0.0018282548476454294
CID_5510	0.83	P10275 <= 0.36	-0.0015902651927386692	0.0022991689750692518
CID_107080	0.69	0.36 < P10275 <= 0.47	0.0022259238684012466	0.0019113573407202214
CID_5561	0.59	P10275 > 0.59	-0.0013951025834369499	0.001634349030470914
CID_6439929	0.98	P10275 > 0.59	0.004777134445314997	0.002714681440443213
CID_9577124	0.79	0.36 < P10275 <= 0.47	0.002180691225247842	0.002188365650969529
CID_17531	0.78	0.36 < P10275 <= 0.47	-0.0016182107018004649	0.0021606648199445984
CID_5323714	0.73	0.47 < P10275 <= 0.59	0.0031695938152455933	0.0020221606648199446
CID_2818	0.75	P10275 > 0.59	0.002715454923882083	0.002077562326869806
CID_6918305	0.84	P10275 > 0.59	0.001114490659322737	0.002326869806094183
CID_91649	0.83	P10275 > 0.59	-0.00045029845264362903	0.0022991689750692518
CID_14642	0.745	P10275 <= 0.36	0.0013169817605592445	0.002063711911357341
CID_68297	0.78	P10275 <= 0.36	0.0013846958477648178	0.0021606648199445984
