compound_cid	compound_predicted_score	target_range	target_relevance	average_relevance
CID_93118	0.8	0.42 < P10826 <= 0.62	0.005887488494985005	0.00221606648199446
CID_11375816	0.93	P10826 <= 0.42	0.004537555515200807	0.00257617728531856
CID_5756	0.84	0.42 < P10826 <= 0.62	0.002616393241262325	0.002326869806094183
CID_472181	0.98	P10826 > 0.72	-0.00047353972961002033	0.002714681440443213
CID_5284371	0.67	P10826 > 0.72	0.0001705819566980349	0.0018559556786703602
CID_6440554	0.69	P10826 <= 0.42	0.003253145385905453	0.0019113573407202214
CID_13530	0.72	P10826 <= 0.42	0.003995744314130972	0.0019944598337950136
CID_6240	0.98	P10826 <= 0.42	0.003981450537450793	0.002714681440443213
CID_443943	0.815	P10826 <= 0.42	0.0016231045502485234	0.002257617728531856
CID_299728	0.81	P10826 <= 0.42	0.002128160743393389	0.0022437673130193906
CID_23540	0.73	P10826 > 0.72	0.0038773280295465217	0.0020221606648199446
CID_6323490	0.73	P10826 > 0.72	0.0030110717293849775	0.0020221606648199446
CID_18551400	0.65	P10826 <= 0.42	0.0015618074021540797	0.0018005540166204986
CID_9821217	0.79	P10826 <= 0.42	-0.004711119648729826	0.002188365650969529
CID_16760153	0.59	0.62 < P10826 <= 0.72	-0.0022546355727409793	0.001634349030470914
CID_16533	0.509	P10826 <= 0.42	-5.5820710754239796e-05	0.0014099722991689752
CID_61059	0.64	0.62 < P10826 <= 0.72	-0.0011288594953702004	0.001772853185595568
CID_53388	0.68	P10826 <= 0.42	0.006935019275884691	0.001883656509695291
CID_10269	0.4269523809523809	P10826 > 0.72	-0.0011197697032115546	0.0011826935760453764
CID_18980	0.68	0.42 < P10826 <= 0.62	0.0018382243401300633	0.001883656509695291
CID_147912	0.79	P10826 <= 0.42	0.002439380870444782	0.002188365650969529
CID_17533	0.65	P10826 <= 0.42	0.0019846757274904446	0.0018005540166204986
CID_62960	0.73	P10826 <= 0.42	0.00819071247519578	0.0020221606648199446
CID_13930	0.69	P10826 <= 0.42	0.001525614808803465	0.0019113573407202214
CID_526624	0.78	0.42 < P10826 <= 0.62	0.0012086265146480492	0.0021606648199445984
CID_2723598	0.8775	P10826 <= 0.42	0.001977170665872178	0.002430747922437673
CID_192197	0.76	0.62 < P10826 <= 0.72	0.005089035622114084	0.002105263157894737
CID_6604495	0.8	P10826 > 0.72	0.003739785933737428	0.00221606648199446
CID_4963	0.68	0.62 < P10826 <= 0.72	0.001701866797474303	0.001883656509695291
CID_189821	0.67	0.62 < P10826 <= 0.72	0.0029276057058903373	0.0018559556786703602
CID_23558	0.92	P10826 <= 0.42	0.0028132160629905385	0.002548476454293629
CID_460612	0.66	P10826 <= 0.42	-0.002645085726923612	0.0018282548476454294
CID_156414	0.75	P10826 <= 0.42	0.0013316618496633206	0.002077562326869806
CID_7511	0.6766666666666667	P10826 <= 0.42	0.0025409560405022374	0.0018744228993536475
CID_4783	0.7	P10826 <= 0.42	0.0034499599487479017	0.0019390581717451522
CID_161104	0.69	P10826 <= 0.42	-4.591450481710192e-05	0.0019113573407202214
CID_36392	0.6575	P10826 <= 0.42	0.005217923480358758	0.0018213296398891965
CID_8369	0.65	0.42 < P10826 <= 0.62	0.00443510433282665	0.0018005540166204986
CID_8152	0.94	P10826 <= 0.42	0.002148621425170907	0.00260387811634349
CID_54886	0.76	P10826 > 0.72	-0.00047189677400354135	0.002105263157894737
CID_119175	0.86	P10826 <= 0.42	0.002617225946974265	0.0023822714681440444
CID_197873	0.82	P10826 <= 0.42	0.0018451724043990001	0.002271468144044321
CID_441325	0.74	P10826 <= 0.42	0.0025350538785621933	0.002049861495844875
