compound_cid	compound_predicted_score	target_range	target_relevance	average_relevance
CID_23702994	0.79	P51449 > 0.49	0.004598251031330514	0.002188365650969529
CID_6253	0.91	P51449 > 0.49	0.0019416799450017856	0.002520775623268698
CID_177	0.56	P51449 <= 0.34	0.0021886953467428437	0.001551246537396122
CID_20708	1.0	P51449 <= 0.34	0.0018817282762954156	0.002770083102493075
CID_1988	0.76	P51449 <= 0.34	0.0021351741430547773	0.002105263157894737
CID_73334	0.75	0.34 < P51449 <= 0.40	0.0026097581098262794	0.002077562326869806
CID_54685925	0.85	0.40 < P51449 <= 0.49	0.003846528440160195	0.0023545706371191134
CID_26710	0.97	0.40 < P51449 <= 0.49	0.003166691121813214	0.0026869806094182826
CID_54676038	0.71	P51449 > 0.49	0.004425445504411503	0.001966759002770083
CID_92877	0.73	P51449 > 0.49	0.0034579345165456146	0.0020221606648199446
CID_10789	0.66	0.40 < P51449 <= 0.49	0.00021429040137557637	0.0018282548476454294
CID_60196440	0.59	0.40 < P51449 <= 0.49	0.005134936830836041	0.001634349030470914
CID_24633	0.18175865800865806	0.34 < P51449 <= 0.40	-0.00035286301005197284	0.0005034865872816013
CID_1730	0.68	0.40 < P51449 <= 0.49	0.0025168285742460557	0.001883656509695291
CID_2734229	1.0	0.34 < P51449 <= 0.40	-0.000678815996379574	0.002770083102493075
CID_213037	0.5933333333333334	0.40 < P51449 <= 0.49	0.0036624347102997383	0.0016435826408125577
CID_1967	0.62	P51449 <= 0.34	0.0035513208923272934	0.0017174515235457064
CID_9509	0.68	P51449 <= 0.34	-0.0002910879793079136	0.001883656509695291
CID_86102	0.8	P51449 > 0.49	0.004322294723490009	0.00221606648199446
CID_13745	0.6975	P51449 > 0.49	0.00046678624470513925	0.0019321329639889198
CID_235227	0.7	0.40 < P51449 <= 0.49	0.00214090666124357	0.0019390581717451522
CID_7381	0.7733333333333334	P51449 > 0.49	0.002017141655704156	0.0021421975992613113
CID_6440554	0.8983333333333333	P51449 > 0.49	0.008160490221600805	0.0024884579870729454
CID_8155	1.0	P51449 <= 0.34	0.0035449680808811754	0.002770083102493075
CID_6279	0.94	P51449 > 0.49	0.0018651827330661292	0.00260387811634349
CID_17701	0.69	0.40 < P51449 <= 0.49	-0.00034087694068308833	0.0019113573407202214
CID_11461044	0.8228214285714283	0.40 < P51449 <= 0.49	0.0030919285991713634	0.002279283735654926
CID_4641	0.72	0.34 < P51449 <= 0.40	-0.00020416431374163673	0.0019944598337950136
CID_14178379	0.7166666666666667	P51449 > 0.49	-0.00040469348622476913	0.0019852262234533705
CID_9862076	0.6875	P51449 > 0.49	0.0038464433665846187	0.001904432132963989
CID_75444	0.71	P51449 <= 0.34	-0.001051392177172176	0.001966759002770083
CID_6607	0.96	P51449 > 0.49	0.005626487862699114	0.0026592797783933516
CID_6374	0.6712857142857144	P51449 <= 0.34	0.0010621019743303523	0.0018595172140878514
CID_115367	0.65	0.40 < P51449 <= 0.49	0.0013274238364427626	0.0018005540166204986
CID_11294	0.9	0.34 < P51449 <= 0.40	0.005861091070878119	0.002493074792243767
CID_9786	0.8	0.34 < P51449 <= 0.40	0.001363980444165362	0.00221606648199446
CID_10160166	0.7	P51449 > 0.49	0.002125980659785592	0.0019390581717451522
CID_26633	0.89	0.40 < P51449 <= 0.49	0.002502028568496347	0.0024653739612188366
CID_66166	0.73	0.34 < P51449 <= 0.40	0.0029742218187108795	0.0020221606648199446
CID_676166	0.66	P51449 > 0.49	0.0026097250216075125	0.0018282548476454294
CID_7789	0.69	0.40 < P51449 <= 0.49	0.0030290043453684535	0.0019113573407202214
CID_7677	0.68	0.34 < P51449 <= 0.40	0.002824687130156784	0.001883656509695291
CID_441207	0.87	P51449 <= 0.34	0.0021240149333913703	0.002409972299168975
CID_14249	0.99	P51449 <= 0.34	0.003972357353211925	0.002742382271468144
CID_26177	0.65	P51449 > 0.49	0.005023390848254448	0.0018005540166204986
CID_6623	0.75	0.40 < P51449 <= 0.49	0.0023423930954049044	0.002077562326869806
CID_6868	0.6925	P51449 > 0.49	0.002585259951011218	0.0019182825484764542
CID_16574	0.77	P51449 > 0.49	0.0044176521716256575	0.002132963988919668
