dataset_name	hyperparameter_setting	n_hidden_layer	n_feature	n_hidden_module	n_hidden_neuron	n_training	n_testing	training_total_loss	training_root_loss	training_auxiliary_loss	training_auc	training_auc_ci	training_bac	training_bac_ci	training_f1	training_f1_ci	testing_total_loss	testing_root_loss	testing_auxiliary_loss	testing_auc	testing_auc_ci	testing_bac	testing_bac_ci	testing_f1	testing_f1_ci
tox21-ahr-p1	shuffle_83.tsv_xs_20_al_0.5_ld_0.0001	12	361	304,99,40,17,13,11,7,2,2,2,1,1	1558,772,387,197,134,130,84,21,31,37,18,20	5606	1402	2.40141	0.33595	4.13092	0.61526	0.01875	0.5	0	0	0	2.42214	0.34917	4.14593	0.49721	0.03668	0.5	0	0	0
tox21-ap1-agonist-p1	shuffle_74.tsv_xs_20_al_0.5_ld_0.0001	10	361	205,65,26,9,9,9,6,1,1,1	1133,549,270,116,107,114,77,12,18,20	5477	1370	1.71869	0.28217	2.87305	0.61046	0.02014	0.5	0	0	0	1.72716	0.28677	2.88078	0.54936	0.04401	0.5	0	0	0
tox21-ar-mda-kb2-luc-antagonist-p2	shuffle_182.tsv_xs_20_al_0.5_ld_0.0001	12	361	366,123,51,22,14,12,7,2,2,2,1,1	1823,949,493,257,150,149,84,21,31,37,18,20	4959	1240	2.85839	0.39804	4.92072	0.6245	0.01589	0.5	0	0	0	2.90621	0.42301	4.9664	0.47621	0.03872	0.5	0	0	0
tox21-are-bla-p1	shuffle_146.tsv_xs_20_al_0.5_ld_0.0001	10	361	205,65,26,9,9,9,6,1,1,1	1133,549,270,116,107,114,77,12,18,20	4778	1195	2.68868	0.44284	4.49169	0.60648	0.01632	0.5	0	0	0	2.70465	0.45047	4.50835	0.53594	0.03376	0.5	0	0	0
tox21-aromatase-p1	shuffle_81.tsv_xs_20_al_0.1_ld_0.0001	10	361	143,41,15,4,8,8,6,1,1,1	865,368,161,53,91,94,77,12,18,20	5301	1326	0.67946	0.33464	3.4482	0.60635	0.01858	0.5	0	0	0	0.69794	0.34955	3.48382	0.47877	0.03924	0.5	0	0	0
tox21-car-agonist-p1	shuffle_134.tsv_xs_20_al_0.5_ld_0.0001	12	361	248,83,36,16,12,10,6,2,2,2,1,1	1240,637,345,183,117,112,66,21,31,37,18,20	5484	1372	2.67861	0.37808	4.60107	0.5831	0.01754	0.5	0	0	0	2.68506	0.38196	4.6062	0.59494	0.03442	0.5	0	0	0
tox21-er-luc-bg1-4e2-agonist-p2	shuffle_61.tsv_xs_20_al_0.5_ld_0.0001	9	361	90,36,13,9,8,6,2,1,1	393,229,112,82,74,63,27,17,20	5184	1297	1.87171	0.33488	3.07365	0.61752	0.01718	0.5	0	0	0	1.90632	0.35	3.11265	0.52101	0.0392	0.5	0	0	0
tox21-mitotox-p1	shuffle_185.tsv_xs_20_al_0.5_ld_0.0001	12	361	248,83,36,16,12,10,6,2,2,2,1,1	1240,637,345,183,117,112,66,21,31,37,18,20	5183	1296	3.33297	0.46405	5.73784	0.6328	0.01453	0.5	0	0	0	3.36207	0.48693	5.75029	0.54451	0.03097	0.5	0	0	0
tox21-pr-bla-antagonist-p1	shuffle_175.tsv_xs_20_al_0.5_ld_0.0001	12	361	366,123,51,22,14,12,7,2,2,2,1,1	1823,949,493,257,150,149,84,21,31,37,18,20	5140	1286	2.68646	0.37812	4.61668	0.59646	0.01734	0.5	0	0	0	2.72121	0.38894	4.66454	0.50337	0.03669	0.5	0	0	0
tox21-pxr-p1	shuffle_23.tsv_xs_20_al_0.5_ld_0.0001	12	361	366,123,51,22,14,12,7,2,2,2,1,1	1823,949,493,257,150,149,84,21,31,37,18,20	5220	1306	3.90951	0.55124	6.71655	0.59047	0.01359	0.5	0	0	0	3.93946	0.56593	6.74706	0.51062	0.02852	0.5	0	0	0
tox21-rar-antagonist-p2	shuffle_142.tsv_xs_20_al_0.5_ld_0.0001	10	361	205,65,26,9,9,9,6,1,1,1	1133,549,270,116,107,114,77,12,18,20	4428	1107	1.92737	0.31194	3.23087	0.65048	0.01969	0.5	0	0	0	1.98917	0.34137	3.29559	0.46867	0.04002	0.5	0	0	0
tox21-ror-cho-antagonist-p1	shuffle_121.tsv_xs_20_al_0.1_ld_0.0001	10	361	205,65,26,9,9,9,6,1,1,1	1133,549,270,116,107,114,77,12,18,20	4327	1082	0.61426	0.29889	3.15362	0.63636	0.02156	0.5	0	0	0	0.63197	0.31252	3.19448	0.53382	0.05109	0.5	0	0	0
tox21-rt-viability-hek293-p1	shuffle_159.tsv_xs_20_al_0.5_ld_0.0001	12	361	169,61,26,13,5,3,1,1,1,1,1,1	753,432,244,144,45,36,8,10,14,17,18,20	6018	1505	3.75163	0.53239	6.4385	0.56611	0.01306	0.5	0	0	0	3.77001	0.54425	6.45154	0.47442	0.02599	0.5	0	0	0
tox21-rt-viability-hepg2-p1	shuffle_191.tsv_xs_20_al_0.5_ld_0.0001	12	361	248,83,36,16,12,10,6,2,2,2,1,1	1240,637,345,183,117,112,66,21,31,37,18,20	6020	1506	2.95557	0.41698	5.07719	0.5899	0.01543	0.5	0	0	0	2.9826	0.43131	5.10259	0.47864	0.033	0.5	0	0	0
tox21-shh-3t3-gli3-antagonist-p1	shuffle_80.tsv_xs_20_al_0.5_ld_0.0001	12	361	366,123,51,22,14,12,7,2,2,2,1,1	1823,949,493,257,150,149,84,21,31,37,18,20	4551	1138	3.10503	0.43636	5.33734	0.60286	0.01652	0.5	0	0	0	3.13336	0.45448	5.35776	0.48221	0.03687	0.5	0	0	0
