dataset_name	hyperparameter_setting	n_hidden_layer	n_feature	n_hidden_module	n_hidden_neuron	n_training	n_testing	training_total_loss	training_root_loss	training_auxiliary_loss	training_auc	training_auc_ci	training_bac	training_bac_ci	training_f1	training_f1_ci	testing_total_loss	testing_root_loss	testing_auxiliary_loss	testing_auc	testing_auc_ci	testing_bac	testing_bac_ci	testing_f1	testing_f1_ci
tox21-ahr-p1	shuffle_1.tsv_xs_20_al_0.5_ld_0.0001	12	361	304,99,40,17,13,11,7,2,2,2,1,1	1558,772,387,197,134,130,84,21,31,37,18,20	5606	1402	2.41523	0.34397	4.14252	0.5238	0.01854	0.5	0	0	0	2.41556	0.3432	4.14473	0.5768	0.03942	0.5	0	0	0
tox21-ahr-p1	shuffle_10.tsv_xs_20_al_0.5_ld_0.0001	12	361	304,99,40,17,13,11,7,2,2,2,1,1	1558,772,387,197,134,130,84,21,31,37,18,20	5606	1402	2.41534	0.34422	4.14223	0.52259	0.01839	0.5	0	0	0	2.422	0.34589	4.15222	0.43133	0.03451	0.5	0	0	0
tox21-ahr-p1	shuffle_100.tsv_xs_20_al_0.5_ld_0.0001	12	361	304,99,40,17,13,11,7,2,2,2,1,1	1558,772,387,197,134,130,84,21,31,37,18,20	5606	1402	2.41237	0.34298	4.13878	0.56699	0.01922	0.5	0	0	0	2.42209	0.345	4.15419	0.50631	0.03467	0.5	0	0	0
tox21-ahr-p1	shuffle_101.tsv_xs_20_al_0.5_ld_0.0001	12	361	304,99,40,17,13,11,7,2,2,2,1,1	1558,772,387,197,134,130,84,21,31,37,18,20	5606	1402	2.41493	0.34398	4.14189	0.54016	0.01837	0.5	0	0	0	2.42332	0.3454	4.15584	0.45666	0.04004	0.5	0	0	0
tox21-ahr-p1	shuffle_102.tsv_xs_20_al_0.5_ld_0.0001	12	361	304,99,40,17,13,11,7,2,2,2,1,1	1558,772,387,197,134,130,84,21,31,37,18,20	5606	1402	2.41551	0.3442	4.14262	0.53199	0.01928	0.5	0	0	0	2.42099	0.34628	4.14943	0.34992	0.03349	0.5	0	0	0
tox21-ahr-p1	shuffle_103.tsv_xs_20_al_0.5_ld_0.0001	12	361	304,99,40,17,13,11,7,2,2,2,1,1	1558,772,387,197,134,130,84,21,31,37,18,20	5606	1402	2.41513	0.34413	4.142	0.52117	0.0182	0.5	0	0	0	2.42839	0.34695	4.16288	0.36113	0.03366	0.5	0	0	0
tox21-ahr-p1	shuffle_104.tsv_xs_20_al_0.5_ld_0.0001	12	361	304,99,40,17,13,11,7,2,2,2,1,1	1558,772,387,197,134,130,84,21,31,37,18,20	5606	1402	2.41466	0.34396	4.1414	0.54089	0.01791	0.5	0	0	0	2.42855	0.34661	4.16389	0.33205	0.0338	0.5	0	0	0
tox21-ahr-p1	shuffle_105.tsv_xs_20_al_0.5_ld_0.0001	12	361	304,99,40,17,13,11,7,2,2,2,1,1	1558,772,387,197,134,130,84,21,31,37,18,20	5606	1402	2.41492	0.34364	4.14257	0.53752	0.01772	0.5	0	0	0	2.42056	0.34376	4.1536	0.55518	0.03759	0.5	0	0	0
tox21-ahr-p1	shuffle_106.tsv_xs_20_al_0.5_ld_0.0001	12	361	304,99,40,17,13,11,7,2,2,2,1,1	1558,772,387,197,134,130,84,21,31,37,18,20	5606	1402	2.4143	0.34405	4.1405	0.52444	0.01811	0.5	0	0	0	2.42415	0.34637	4.15558	0.39774	0.03319	0.5	0	0	0
tox21-ahr-p1	shuffle_107.tsv_xs_20_al_0.5_ld_0.0001	12	361	304,99,40,17,13,11,7,2,2,2,1,1	1558,772,387,197,134,130,84,21,31,37,18,20	5606	1402	2.4132	0.34353	4.13933	0.54839	0.01758	0.5	0	0	0	2.43399	0.34864	4.1707	0.3227	0.031	0.5	0	0	0
