dataset_name	hyperparameter_setting	n_hidden_layer	n_feature	n_hidden_module	n_hidden_neuron	n_training	n_testing	training_total_loss	training_root_loss	training_auxiliary_loss	training_auc	training_auc_ci	training_bac	training_bac_ci	training_f1	training_f1_ci	testing_total_loss	testing_root_loss	testing_auxiliary_loss	testing_auc	testing_auc_ci	testing_bac	testing_bac_ci	testing_f1	testing_f1_ci
tox21-ahr-p1	rt_32_ps_5_re_0_xs_20_al_0.5_ld_0.0001	12	361	304,99,40,17,13,11,7,2,2,2,1,1	1558,772,387,197,134,130,84,21,31,37,18,20	5606	1402	1.82687	0.21017	3.2334	0.90069	0.0099	0.69885	0.01506	0.53194	0.02957	1.98199	0.24977	3.46444	0.8636	0.02226	0.63992	0.02702	0.40889	0.0629
tox21-ap1-agonist-p1	rt_31_ps_5_re_0_xs_20_al_0.5_ld_0.0001	10	361	205,65,26,9,9,9,6,1,1,1	1133,549,270,116,107,114,77,12,18,20	5477	1370	1.50939	0.21154	2.5957	0.8581	0.01337	0.565	0.01174	0.22945	0.03642	1.59459	0.25015	2.68888	0.7786	0.03583	0.53429	0.01854	0.12903	0.06435
tox21-ar-mda-kb2-luc-antagonist-p2	rt_41_ps_5_re_0_xs_20_al_0.5_ld_0.0001	12	361	366,123,51,22,14,12,7,2,2,2,1,1	1823,949,493,257,150,149,84,21,31,37,18,20	4959	1240	2.32326	0.27472	4.09707	0.88239	0.01063	0.68722	0.01399	0.50883	0.02704	2.37204	0.29707	4.14993	0.86285	0.02173	0.67751	0.0295	0.48276	0.05426
tox21-are-bla-p1	rt_31_ps_5_re_0_xs_20_al_0.5_ld_0.0001	10	361	205,65,26,9,9,9,6,1,1,1	1133,549,270,116,107,114,77,12,18,20	4778	1195	2.39873	0.34957	4.09834	0.81997	0.01198	0.62433	0.01245	0.39046	0.02826	2.51992	0.40814	4.22356	0.72399	0.02899	0.58746	0.02212	0.30325	0.05448
tox21-aromatase-p1	rt_21_ps_5_re_0_xs_20_al_0.1_ld_0.0001	10	361	143,41,15,4,8,8,6,1,1,1	865,368,161,53,91,94,77,12,18,20	5301	1326	0.55292	0.25241	3.00507	0.83214	0.0142	0.62855	0.01323	0.39687	0.03183	0.58295	0.27523	3.07717	0.80116	0.02935	0.59686	0.02569	0.3125	0.06469
tox21-car-agonist-p1	rt_25_ps_5_re_0_xs_20_al_0.5_ld_0.0001	12	361	248,83,36,16,12,10,6,2,2,2,1,1	1240,637,345,183,117,112,66,21,31,37,18,20	5484	1372	2.06807	0.22254	3.69107	0.91714	0.00837	0.7542	0.01334	0.60327	0.02369	2.38964	0.32927	4.12073	0.81462	0.02481	0.67002	0.0271	0.44237	0.05099
tox21-er-luc-bg1-4e2-agonist-p2	rt_21_ps_20_re_0_xs_20_al_0.5_ld_0.0001	9	361	90,36,13,9,8,6,2,1,1	393,229,112,82,74,63,27,17,20	5184	1297	1.69587	0.28479	2.82216	0.75103	0.0174	0.58561	0.01243	0.28692	0.0341	1.76244	0.30649	2.9119	0.71536	0.03841	0.55777	0.02102	0.20809	0.0619
tox21-mitotox-p1	rt_25_ps_5_re_0_xs_20_al_0.5_ld_0.0001	12	361	248,83,36,16,12,10,6,2,2,2,1,1	1240,637,345,183,117,112,66,21,31,37,18,20	5183	1296	2.59647	0.28019	4.63258	0.9048	0.00864	0.77119	0.01231	0.66	0.02037	2.88886	0.38049	5.01674	0.82545	0.02144	0.68892	0.02493	0.50575	0.04325
tox21-pr-bla-antagonist-p1	rt_41_ps_5_re_0_xs_20_al_0.5_ld_0.0001	12	361	366,123,51,22,14,12,7,2,2,2,1,1	1823,949,493,257,150,149,84,21,31,37,18,20	5140	1286	2.05015	0.22251	3.65527	0.91052	0.00907	0.74089	0.01432	0.60486	0.02499	2.29576	0.29803	3.99546	0.84021	0.02567	0.6391	0.02737	0.4	0.05814
tox21-pxr-p1	rt_41_ps_5_re_0_xs_20_al_0.5_ld_0.0001	12	361	366,123,51,22,14,12,7,2,2,2,1,1	1823,949,493,257,150,149,84,21,31,37,18,20	5220	1306	2.98927	0.32096	5.33661	0.90549	0.007	0.7922	0.01043	0.70524	0.01609	3.25563	0.41139	5.68847	0.8538	0.01801	0.7366	0.02154	0.61231	0.03474
