dataset_name	hyperparameter_setting	n_training	n_testing	training_log_loss	training_auc	training_auc_ci	training_bac	training_bac_ci	training_f1	training_f1_ci	testing_log_loss	testing_auc	testing_auc_ci	testing_bac	testing_bac_ci	testing_f1	testing_f1_ci
tox21-ahr-p1	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	5606	1402	0.0212	0.99976	0.0001	0.977	0.0062	0.9701	0.00744	0.27263	0.89016	0.02199	0.664	0.02899	0.46288	0.06186
tox21-ap1-agonist-p1	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	5477	1370	0.02241	0.99968	0.00013	0.96883	0.00833	0.96197	0.00923	0.2697	0.82632	0.03186	0.58254	0.02855	0.27211	0.07698
tox21-ar-mda-kb2-luc-antagonist-p2	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	4959	1240	0.02473	0.99982	8e-05	0.98695	0.00417	0.97812	0.00584	0.27882	0.8991	0.01827	0.69116	0.02916	0.52364	0.05666
tox21-are-bla-p1	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	4778	1195	0.02871	0.99984	7e-05	0.98908	0.00342	0.98303	0.00475	0.43686	0.80716	0.02396	0.60856	0.02242	0.35254	0.05128
tox21-aromatase-p1	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	5301	1326	0.02374	0.99975	9e-05	0.97474	0.00643	0.96878	0.0076	0.3051	0.84404	0.02699	0.62568	0.02687	0.38384	0.06308
tox21-car-agonist-p1	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	5484	1372	0.02543	0.9997	0.00011	0.97991	0.00543	0.97004	0.00715	0.33273	0.86113	0.01937	0.63309	0.026	0.39695	0.05676
tox21-er-luc-bg1-4e2-agonist-p2	md_XGBoost_ne_100_md_10_lr_1e-1_ss_0.9_mw_1	5184	1297	0.03369	0.9995	0.00018	0.9695	0.00697	0.96014	0.00854	0.36562	0.74067	0.03503	0.58761	0.02538	0.28571	0.06278
tox21-mitotox-p1	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	5183	1296	0.02324	0.99988	5e-05	0.98851	0.00365	0.98479	0.00435	0.37294	0.88127	0.01709	0.7107	0.02449	0.56555	0.04481
tox21-pr-bla-antagonist-p1	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	5140	1286	0.01877	0.99989	5e-05	0.98383	0.0051	0.98165	0.0054	0.34054	0.88062	0.01892	0.64401	0.02918	0.41732	0.06133
tox21-pxr-p1	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	5220	1306	0.03645	0.9997	0.0001	0.98664	0.00303	0.97991	0.00406	0.39565	0.88712	0.01512	0.76476	0.02206	0.66212	0.0355
tox21-rar-antagonist-p2	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	4428	1107	0.02002	0.99982	9e-05	0.97793	0.00719	0.97248	0.00846	0.32473	0.82555	0.02965	0.57755	0.02664	0.26027	0.07143
tox21-ror-cho-antagonist-p1	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	4327	1082	0.01664	0.99987	7e-05	0.98061	0.00707	0.97468	0.00884	0.27858	0.87795	0.02325	0.5744	0.02708	0.25197	0.07555
tox21-rt-viability-hek293-p1	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	6018	1505	0.06055	0.99899	0.00026	0.97034	0.00463	0.96401	0.00525	0.51728	0.76816	0.02181	0.65382	0.0204	0.46816	0.04068
tox21-rt-viability-hepg2-p1	md_XGBoost_ne_100_md_10_lr_1e-1_ss_0.9_mw_1	6020	1506	0.04248	0.99936	0.00019	0.97136	0.00555	0.96081	0.0072	0.44529	0.75726	0.02719	0.58945	0.02122	0.30323	0.05266
tox21-shh-3t3-gli3-antagonist-p1	md_XGBoost_ne_100_md_10_lr_1e-1_ss_1_mw_1	4551	1138	0.02893	0.99976	0.0001	0.98482	0.00442	0.97766	0.00563	0.37725	0.85453	0.02264	0.6649	0.02762	0.47059	0.05622
